id,world_id,country,visit,purchase,download
2200,1,United States,1,0,250
2206,1,United States,3,1,10
2207,1,United States,3,0,50
2209,9,United States,1,0,30
2210,9,United States,0,1,3
2211,9,United States,1,1,0
2212,1,United States,1,1,5
2217,9,United States,3,0,0
2218,9,United States,3,1,100
2225,9,United States,1,1,2
2231,9,United States,3,1,0
2233,9,United States,0,1,0
2234,9,United States,3,1,5
2236,1,United States,1,1,0
2239,9,United States,2,1,0
2248,9,United States,1,1,0
2249,9,United States,2,1,10
2250,9,United States,3,1,100
2253,9,United States,2,1,0
2260,9,United Kingdom,3,1,0
2264,1,United States,2,1,0
2265,9,United States,1,1,0
2267,9,United States,3,1,25
2269,1,United States,1,1,0
2271,1,United Kingdom,3,1,0
2277,1,United Kingdom,1,1,5
2286,9,Cape Verde,1,1,200
2294,9,United States,3,1,0
2295,9,United States,0,0,0
2297,9,United Kingdom,2,1,15
2302,9,United States,3,1,0
2305,1,United States,2,0,0
2309,9,United States,1,1,0
2310,1,United States,3,1,10
2312,9,United States,1,1,15
2313,9,United States,1,1,0
2317,1,United States,1,1,60
2318,1,United States,3,1,2
2331,9,United Kingdom,1,1,0
2333,9,United States,0,0,0
2334,1,United States,3,1,62
2336,9,United States,1,0,0
2338,9,United States,1,1,30
2339,9,United States,2,1,0
2346,9,United States,2,1,0
2347,9,United States,2,1,0
2352,1,United States,0,1,0
2353,1,United States,1,0,0
2357,1,United States,3,1,43
2358,1,United States,1,1,1
2361,1,United States,3,1,2
2363,1,United States,2,0,5
2366,1,United States,1,0,2
2375,1,United States,3,0,15
2378,1,United States,1,1,0
2381,9,United States,3,1,18
2382,9,United States,1,0,14
2386,9,United States,3,1,0
2387,9,Canada,1,1,48
2392,9,United States,3,0,0
2395,9,United States,1,1,0
2398,9,United States,3,1,0
2399,9,Australia,3,1,0
2400,9,United States,3,0,2
2405,1,United States,1,0,0
2407,9,United States,1,0,0
2408,9,United States,3,1,0
2409,9,United States,3,1,3
2410,9,United States,2,0,0
2420,1,United States,1,1,5
2424,1,United States,3,1,3
2425,9,United States,3,0,0
2429,9,United States,0,1,4
2431,9,United States,2,1,0
2432,1,United States,3,1,0
2436,1,Australia,2,1,10
2437,1,United States,3,1,12
2441,9,United States,1,1,0
2446,9,United States,2,1,100
2456,9,United States,3,1,0
2458,1,Italy,3,0,5
2462,1,United States,0,0,0
2463,1,United States,3,1,0
2467,9,United States,3,0,20
2475,9,Antigua And Barbuda,2,0,20
2476,9,United States,1,1,0
2478,1,United States,3,1,2
2485,1,United States,1,1,0
2486,9,United States,3,1,0
2487,9,United States,1,0,0
2494,9,United States,3,1,15
2495,9,Mexico,2,1,200
2497,1,United States,3,1,130
2499,9,Canada,2,0,0
2500,9,United States,0,1,0
2502,9,United States,3,1,10
2503,1,United States,2,0,5
2509,1,United States,0,1,10
2510,9,United States,2,1,20
2511,1,United States,0,1,0
2517,1,Portugal,2,1,0
2519,9,United States,3,1,10
2520,1,United States,3,1,0
2521,1,United States,2,1,0
2522,9,United States,3,1,3
2526,9,United States,0,0,0
2528,1,United States,3,1,6
2531,9,United States,0,0,0
2538,9,United States,1,1,0
2540,9,United States,3,1,0
2541,9,United States,1,1,4
2543,9,United States,0,0,0
2545,9,United States,1,1,0
2551,1,United States,2,1,15
2557,1,United States,3,1,20
2564,1,United States,3,1,15
2567,1,United States,1,0,0
2569,1,United Kingdom,3,1,8
2571,1,United States,1,1,0
2577,1,Canada,3,1,10
2578,9,Canada,3,1,10
2580,9,United States,3,1,50
2589,9,Australia,2,1,6
2590,1,United States,2,1,7
2594,1,United States,2,0,0
2607,1,United Kingdom,1,0,5
